time,wx,wy,wz
1.836,-0.83,-0.84,0.37
1.838,-0.88,-0.99,0.47
1.843,-0.94,-1.08,0.57
1.853,-0.95,-1.14,0.61
1.853,-0.97,-1.20,0.57
1.858,-1.01,-1.24,0.50
1.872,-1.03,-1.19,0.46
1.873,-1.03,-1.05,0.47
1.873,-1.02,-0.92,0.50
1.893,-1.02,-0.80,0.54
1.894,-1.04,-0.68,0.60
1.894,-1.10,-0.57,0.67
1.894,-1.15,-0.47,0.75
1.909,-1.20,-0.40,0.80
1.910,-1.30,-0.37,0.84
1.910,-1.38,-0.36,0.87
1.925,-1.42,-0.34,0.90
1.925,-1.44,-0.36,0.95
1.925,-1.44,-0.38,1.00
1.937,-1.45,-0.33,1.06
1.938,-1.44,-0.28,1.12
1.939,-1.43,-0.24,1.17
1.943,-1.41,-0.24,1.20
1.954,-1.38,-0.22,1.20
1.954,-1.37,-0.16,1.20
1.959,-1.37,-0.16,1.20
1.975,-1.37,-0.17,1.19
1.976,-1.40,-0.13,1.17
1.976,-1.44,-0.06,1.14
1.993,-1.45,0.04,1.12
1.994,-1.42,0.19,1.02
1.995,-1.35,0.25,0.83
1.995,-1.39,0.20,0.64
2.003,-1.64,0.17,0.56
2.004,-1.93,0.01,0.52
2.008,-1.80,-0.25,0.39
2.023,-1.50,-0.40,0.17
2.024,-1.54,-0.40,-0.01
2.024,-1.66,-0.52,-0.13
2.035,-1.67,-0.82,-0.24
2.036,-1.70,-1.14,-0.32
2.039,-1.78,-1.41,-0.37
2.044,-1.76,-1.68,-0.47
2.048,-1.71,-1.94,-0.57
2.053,-1.77,-2.16,-0.60
2.058,-1.90,-2.38,-0.50
2.063,-2.14,-2.62,-0.28
2.068,-2.31,-2.85,-0.02
2.073,-2.36,-2.92,0.20
2.080,-2.33,-2.77,0.36
2.083,-2.21,-2.41,0.50
2.088,-2.04,-1.87,0.61
2.093,-1.90,-1.24,0.71
2.099,-1.84,-0.58,0.80
2.104,-1.85,0.04,0.88
2.109,-1.85,0.53,0.96
2.116,-1.84,0.79,1.04
2.119,-1.85,0.85,1.10
2.123,-1.89,0.76,1.11
2.130,-1.95,0.52,1.06
2.134,-2.02,0.15,0.97
2.139,-2.06,-0.30,0.84
2.144,-2.07,-0.77,0.71
2.149,-2.06,-1.18,0.58
2.154,-2.02,-1.40,0.44
2.158,-1.97,-1.39,0.29
2.164,-1.92,-1.16,0.13
2.169,-1.85,-0.81,0.00
2.173,-1.74,-0.57,-0.01
2.180,-1.59,-0.56,0.09
2.184,-1.43,-0.68,0.20
2.189,-1.33,-0.83,0.31
2.194,-1.31,-0.90,0.43
2.200,-1.35,-0.82,0.55
2.204,-1.40,-0.63,0.65
2.209,-1.42,-0.43,0.71
2.220,-1.42,-0.32,0.75
2.221,-1.40,-0.30,0.77
2.224,-1.39,-0.33,0.80
2.240,-1.37,-0.34,0.81
2.241,-1.33,-0.32,0.81
2.241,-1.26,-0.31,0.78
2.244,-1.19,-0.32,0.74
2.249,-1.10,-0.31,0.68
2.253,-1.00,-0.28,0.64
2.259,-0.89,-0.23,0.60
2.264,-0.78,-0.14,0.58
2.269,-0.73,0.04,0.59
