time,wx,wy,wz
1.206,1.03,-0.42,2.88
1.211,1.15,-0.28,2.86
1.217,1.23,-0.30,2.86
1.221,1.31,-0.54,2.87
1.226,1.31,-0.81,2.90
1.231,1.21,-0.97,2.98
1.236,1.02,-1.05,3.11
1.242,0.78,-1.06,3.27
1.247,0.54,-1.04,3.42
1.259,0.32,-0.96,3.60
1.260,0.13,-0.74,3.81
1.261,-0.02,-0.40,4.03
1.284,-0.14,-0.05,4.22
1.284,-0.18,0.16,4.38
1.285,-0.10,0.13,4.50
1.285,0.09,-0.11,4.56
1.286,0.35,-0.39,4.61
1.291,0.60,-0.58,4.63
1.296,0.79,-0.65,4.62
1.301,0.90,-0.64,4.62
1.306,0.90,-0.54,4.72
1.311,0.83,-0.36,4.89
1.317,0.73,-0.15,5.04
1.322,0.65,0.08,5.15
1.327,0.61,0.33,5.22
1.332,0.58,0.57,5.31
1.337,0.54,0.75,5.44
1.342,0.46,0.82,5.60
1.347,0.36,0.78,5.80
1.359,0.25,0.64,6.02
1.360,0.14,0.42,6.23
1.362,0.05,0.15,6.41
1.384,-0.03,-0.18,6.52
1.385,-0.09,-0.49,6.57
1.385,-0.14,-0.76,6.57
1.385,-0.16,-1.03,6.53
1.386,-0.17,-1.26,6.48
1.391,-0.15,-1.42,6.40
1.396,-0.14,-1.54,6.32
1.401,-0.11,-1.62,6.22
1.406,-0.08,-1.71,6.10
1.411,-0.07,-1.78,5.95
1.417,-0.08,-1.83,5.79
1.421,-0.10,-1.85,5.60
1.426,-0.15,-1.83,5.38
1.431,-0.23,-1.79,5.13
1.436,-0.31,-1.77,4.69
1.441,-0.45,-1.61,3.73
1.447,-0.49,-1.03,1.90
1.458,-0.47,-0.32,-0.76
1.459,-0.59,0.01,-3.59
1.461,-0.84,-0.48,-5.52
1.466,-1.03,-1.54,-6.17
1.482,-1.06,-2.39,-5.94
1.483,-0.96,-2.77,-5.17
1.484,-0.83,-2.91,-4.12
1.486,-0.73,-3.01,-3.07
1.491,-0.65,-3.12,-2.18
1.496,-0.53,-3.23,-1.50
1.501,-0.36,-3.40,-0.97
1.506,-0.12,-3.72,-0.56
1.511,0.18,-4.15,-0.27
1.516,0.54,-4.63,-0.10
1.521,0.91,-5.00,-0.07
1.526,1.27,-5.13,-0.17
1.531,1.60,-5.04,-0.35
1.539,1.87,-4.81,-0.57
1.541,2.06,-4.53,-0.78
1.546,2.18,-4.23,-0.96
1.559,2.28,-3.87,-1.07
1.560,2.35,-3.34,-1.14
1.561,2.44,-2.79,-1.22
1.571,2.61,-2.36,-1.30
1.572,2.78,-2.11,-1.36
1.576,2.90,-1.95,-1.41
1.581,2.98,-1.81,-1.48
1.586,3.02,-1.69,-1.57
1.591,2.95,-1.51,-1.64
1.596,2.78,-1.27,-1.70
1.601,2.55,-1.07,-1.76
1.606,2.31,-0.93,-1.81
1.611,2.10,-0.86,-1.87
1.616,1.91,-0.93,-1.95
1.621,1.75,-1.10,-1.98
1.627,1.57,-1.25,-1.95
1.632,1.35,-1.30,-1.86
1.644,1.14,-1.25,-1.73
1.644,0.94,-1.11,-1.61
1.647,0.79,-0.91,-1.49
1.673,0.67,-0.75,-1.38
1.674,0.61,-0.65,-1.30
1.674,0.59,-0.59,-1.23
1.674,0.61,-0.57,-1.17
1.675,0.62,-0.65,-1.10
1.676,0.59,-0.85,-1.00
1.682,0.50,-1.13,-0.89
1.687,0.38,-1.39,-0.75
1.692,0.25,-1.56,-0.59
1.697,0.15,-1.61,-0.41
1.702,0.09,-1.56,-0.24
1.707,0.04,-1.51,-0.07
1.712,-0.01,-1.46,0.13
1.716,-0.04,-1.42,0.33
1.721,-0.07,-1.39,0.51
1.727,-0.09,-1.32,0.66
1.731,-0.13,-1.20,0.76
1.738,-0.20,-1.08,0.82
1.744,-0.28,-0.95,0.85
1.750,-0.38,-0.79,0.86
1.751,-0.50,-0.64,0.88
