time,wx,wy,wz
1.715,-1.01,-2.24,-0.08
1.720,-1.36,-2.26,-0.34
1.725,-1.45,-2.33,-0.53
1.730,-1.41,-2.33,-0.65
1.735,-1.30,-2.27,-0.72
1.740,-1.13,-2.18,-0.76
1.746,-0.99,-2.04,-0.76
1.751,-1.04,-1.76,-0.77
1.756,-1.23,-1.49,-0.80
1.760,-1.39,-1.38,-0.82
1.765,-1.51,-1.36,-0.83
1.770,-1.45,-1.47,-0.83
1.776,-0.93,-1.79,-0.81
1.786,-0.28,-2.04,-0.71
1.787,0.26,-2.14,-0.51
1.794,0.61,-2.08,-0.29
1.804,0.74,-1.92,-0.10
1.805,0.68,-1.71,0.04
1.805,0.48,-1.49,0.10
1.810,0.20,-1.31,0.08
1.816,-0.06,-1.17,0.01
1.820,-0.26,-1.06,-0.06
1.825,-0.38,-0.96,-0.14
1.830,-0.44,-0.81,-0.23
1.835,-0.45,-0.63,-0.34
1.840,-0.43,-0.47,-0.43
1.847,-0.38,-0.31,-0.52
1.851,-0.30,-0.16,-0.57
1.856,-0.21,-0.01,-0.58
1.861,-0.37,0.48,-0.52
1.867,-1.14,1.60,-0.23
1.870,-1.29,1.45,0.02
1.875,-1.11,1.08,0.22
1.883,-0.92,0.76,0.25
1.885,-0.58,0.38,0.06
1.890,-0.16,0.08,-0.10
1.896,0.32,-0.09,-0.33
1.900,0.70,0.02,-0.64
1.905,0.77,0.39,-0.95
1.910,0.64,0.75,-1.14
1.915,0.43,0.95,-1.23
1.920,0.21,0.99,-1.33
1.925,0.01,0.90,-1.44
1.931,-0.15,0.73,-1.54
1.935,-0.26,0.55,-1.63
1.940,-0.33,0.38,-1.68
1.946,-0.36,0.25,-1.69
1.950,-0.34,0.14,-1.69
1.955,-0.28,-0.01,-1.65
1.960,-0.20,-0.13,-1.62
1.965,-0.15,-0.19,-1.59
1.970,-0.11,-0.21,-1.55
1.975,-0.07,-0.21,-1.51
1.983,-0.03,-0.18,-1.45
1.988,-0.01,-0.14,-1.41
1.990,-0.01,-0.12,-1.39
1.997,-0.01,-0.14,-1.38
2.000,0.03,-0.21,-1.38
2.005,0.09,-0.30,-1.39
2.010,0.14,-0.37,-1.41
2.015,0.19,-0.40,-1.41
2.020,0.26,-0.44,-1.40
2.025,0.33,-0.47,-1.39
2.031,0.35,-0.46,-1.35
2.035,0.32,-0.42,-1.28
2.040,0.28,-0.35,-1.19
2.045,0.25,-0.27,-1.11
2.051,0.24,-0.17,-1.03
2.056,0.24,-0.11,-0.97
2.060,0.24,0.04,-0.91
2.067,0.22,0.33,-0.80
2.070,0.20,0.60,-0.66
2.075,0.18,0.80,-0.51
2.081,0.15,0.91,-0.36
2.086,0.14,0.97,-0.20
2.090,0.14,0.97,-0.02
2.096,0.15,0.94,0.17
2.100,0.16,0.88,0.35
2.105,0.16,0.80,0.50
2.110,0.17,0.71,0.62
2.115,0.17,0.62,0.70
2.120,0.15,0.53,0.76
2.125,0.12,0.47,0.79
2.130,0.09,0.39,0.76
2.136,0.09,0.27,0.71
2.141,0.12,0.14,0.64
2.145,0.14,-0.01,0.55
2.151,0.12,-0.19,0.45
2.156,0.04,-0.38,0.34
2.160,-0.03,-0.57,0.26
2.171,-0.09,-0.77,0.18
2.171,-0.14,-0.96,0.10
2.178,-0.20,-1.09,0.04
2.186,-0.29,-1.13,-0.03
2.187,-0.38,-1.14,-0.08
2.190,-0.43,-1.17,-0.11
2.198,-0.43,-1.20,-0.08
2.200,-0.41,-1.15,0.01
2.205,-0.43,-1.08,0.11
2.210,-0.54,-1.08,0.19
2.216,-0.69,-1.27,0.26
2.220,-0.79,-1.51,0.33
2.225,-0.78,-1.68,0.42
2.231,-0.71,-1.75,0.52
2.237,-0.69,-1.63,0.63
2.241,-0.70,-1.45,0.79
2.248,-0.69,-1.34,1.03
2.252,-0.70,-1.32,1.28
2.256,-0.74,-1.31,1.54
2.261,-0.79,-1.32,1.74
2.266,-0.88,-1.46,1.76
2.271,-1.00,-1.66,1.64
2.276,-1.08,-1.85,1.47
2.288,-1.03,-1.94,1.21
2.289,-0.90,-2.05,1.01
2.291,-0.79,-2.26,0.97
2.296,-0.73,-2.56,1.08
2.305,-0.72,-2.92,1.27
2.307,-0.74,-3.33,1.50
2.311,-0.77,-3.69,1.71
2.316,-0.78,-3.74,1.77
2.320,-0.79,-3.53,1.64
2.326,-0.78,-3.12,1.26
2.331,-0.71,-2.55,0.75
2.335,-0.54,-1.89,0.35
2.340,-0.21,-1.08,0.11
2.346,0.21,-0.31,0.01
2.351,0.51,0.20,0.06
2.356,0.62,0.45,0.20
2.361,0.59,0.54,0.33
2.367,0.47,0.55,0.41
2.371,0.36,0.49,0.43
2.376,0.35,0.38,0.46
2.383,0.40,0.32,0.54
2.386,0.52,0.35,0.63
2.391,0.71,0.50,0.66
2.397,0.96,0.70,0.64
2.401,1.20,0.90,0.62
2.406,1.37,1.09,0.64
2.411,1.45,1.24,0.74
2.416,1.44,1.30,0.90
2.420,1.40,1.17,1.08
2.426,1.37,0.88,1.20
2.431,1.37,0.48,1.27
2.436,1.38,0.15,1.31
2.441,1.36,-0.07,1.33
2.446,1.30,-0.26,1.35
2.452,1.17,-0.35,1.37
2.457,1.02,-0.27,1.40
2.461,0.94,-0.16,1.44
2.471,0.94,-0.08,1.44
2.471,1.00,-0.02,1.40
2.476,1.11,0.02,1.38
2.488,1.26,0.01,1.40
2.489,1.45,-0.02,1.46
2.491,1.67,-0.09,1.53
2.496,1.82,-0.18,1.59
2.502,1.88,-0.34,1.67
2.506,1.84,-0.55,1.83
