time,wx,wy,wz
2.707,-0.36,-0.10,0.26
2.712,-0.51,-0.17,0.33
2.717,-0.66,-0.33,0.43
2.729,-0.80,-0.54,0.54
2.730,-0.91,-0.75,0.63
2.735,-1.00,-0.90,0.69
2.738,-1.06,-0.97,0.71
2.749,-1.10,-1.02,0.68
2.750,-1.09,-1.09,0.63
2.752,-1.03,-1.13,0.58
2.759,-0.92,-1.12,0.55
2.762,-0.78,-1.09,0.55
2.768,-0.61,-1.03,0.54
2.773,-0.45,-0.98,0.51
2.777,-0.31,-0.89,0.46
2.783,-0.21,-0.80,0.41
2.787,-0.15,-0.75,0.38
2.792,-0.10,-0.77,0.36
2.797,-0.02,-0.85,0.34
2.802,0.13,-0.87,0.29
2.807,0.38,-0.73,0.18
2.812,0.74,-0.42,0.00
2.818,1.09,-0.11,-0.29
2.831,1.30,0.06,-0.70
2.832,1.31,0.10,-1.12
2.833,1.18,0.09,-1.38
2.839,1.03,0.06,-1.46
2.854,0.90,-0.05,-1.44
2.855,0.78,-0.28,-1.40
2.855,0.65,-0.57,-1.38
2.868,0.53,-0.86,-1.35
2.869,0.40,-1.17,-1.30
2.869,0.26,-1.44,-1.23
2.878,0.15,-1.63,-1.15
2.879,0.08,-1.67,-1.05
2.882,0.01,-1.61,-0.90
2.888,-0.13,-1.44,-0.75
2.892,-0.29,-1.32,-0.58
2.897,-0.45,-1.26,-0.28
2.902,-0.64,-1.16,-0.06
2.908,-0.86,-1.12,0.12
2.912,-1.06,-1.05,0.37
2.918,-1.18,-0.86,0.66
2.923,-1.27,-0.71,0.84
2.931,-1.33,-0.78,0.93
2.932,-1.35,-1.11,0.92
2.938,-1.33,-1.59,0.83
2.953,-1.27,-1.97,0.65
2.954,-1.06,-2.01,0.44
2.954,-0.61,-1.58,0.26
2.961,0.03,-0.70,0.10
2.962,0.68,0.23,0.03
2.967,1.13,0.82,0.07
2.972,1.31,0.96,0.16
2.977,1.23,0.75,0.26
2.982,0.98,0.33,0.39
2.987,0.69,-0.22,0.63
2.992,0.50,-0.65,0.96
2.997,0.36,-0.88,1.31
3.002,0.16,-1.11,1.61
3.007,-0.16,-1.33,1.85
3.012,-0.58,-1.48,2.05
3.017,-1.06,-1.54,2.18
3.028,-1.51,-1.47,2.23
3.028,-1.85,-1.29,2.24
3.032,-2.05,-1.01,2.21
3.037,-2.14,-0.71,2.16
3.043,-2.14,-0.43,2.12
3.048,-2.09,-0.15,2.12
3.052,-2.00,0.07,2.17
3.057,-1.97,0.28,2.21
3.062,-2.07,0.69,2.15
3.067,-2.17,1.19,2.09
3.072,-2.19,1.74,2.03
3.077,-2.10,2.26,1.93
3.082,-1.88,2.65,1.78
3.087,-1.54,2.87,1.57
3.092,-1.15,2.82,1.31
3.097,-0.74,2.38,1.00
3.102,-0.36,1.58,0.66
3.108,-0.08,0.51,0.31
3.112,0.06,-0.59,0.03
3.118,0.04,-1.45,-0.14
3.124,-0.08,-2.07,-0.20
3.128,-0.29,-2.42,-0.13
3.133,-0.54,-2.50,0.03
3.138,-0.77,-2.35,0.26
3.148,-0.97,-2.09,0.52
3.149,-1.11,-1.87,0.75
3.153,-1.18,-1.78,0.89
3.171,-1.20,-1.76,0.96
3.172,-1.19,-1.74,0.97
3.172,-1.17,-1.63,0.94
3.183,-1.13,-1.47,0.88
3.184,-1.10,-1.30,0.79
3.185,-1.07,-1.16,0.68
3.188,-1.05,-1.07,0.58
3.195,-1.04,-1.02,0.51
3.197,-1.03,-0.99,0.46
3.204,-0.98,-0.98,0.44
3.208,-0.91,-1.01,0.48
3.212,-0.81,-1.05,0.56
3.218,-0.72,-1.07,0.66
3.227,-0.65,-1.06,0.76
3.228,-0.64,-1.04,0.89
3.232,-0.68,-1.01,1.02
3.237,-0.76,-0.98,1.15
3.242,-0.84,-0.95,1.25
