time,wx,wy,wz
1.550,-0.06,-0.02,-0.11
1.554,-0.05,0.01,-0.13
1.559,-0.03,0.04,-0.15
1.564,-0.02,0.07,-0.16
1.570,-0.00,0.09,-0.17
1.575,0.03,0.11,-0.17
1.588,0.07,0.12,-0.18
1.589,0.11,0.15,-0.19
1.589,0.14,0.18,-0.20
1.595,0.15,0.22,-0.21
1.615,0.17,0.24,-0.21
1.615,0.18,0.25,-0.20
1.615,0.19,0.26,-0.19
1.616,0.20,0.25,-0.18
1.619,0.22,0.23,-0.16
1.624,0.23,0.22,-0.15
1.630,0.23,0.21,-0.14
1.634,0.23,0.21,-0.12
1.640,0.22,0.19,-0.10
1.645,0.22,0.18,-0.08
1.650,0.18,0.19,-0.06
1.655,0.08,0.23,-0.02
1.659,-0.06,0.25,0.05
1.664,-0.16,0.19,0.13
1.669,-0.16,0.04,0.16
1.674,-0.10,-0.13,0.13
1.683,-0.04,-0.25,0.08
1.684,0.00,-0.33,0.05
1.690,0.05,-0.38,0.00
1.694,0.10,-0.42,-0.04
1.700,0.15,-0.44,-0.04
1.704,0.17,-0.44,-0.01
1.710,0.17,-0.44,0.04
1.715,0.15,-0.44,0.11
1.719,0.13,-0.40,0.19
1.724,0.09,-0.33,0.25
1.730,0.04,-0.25,0.29
1.734,-0.02,-0.16,0.30
1.739,-0.09,-0.08,0.30
1.744,-0.14,-0.05,0.30
1.749,-0.18,-0.03,0.31
1.754,-0.23,-0.01,0.32
1.759,-0.27,0.03,0.31
1.764,-0.31,0.06,0.28
1.769,-0.33,0.10,0.21
1.774,-0.34,0.13,0.13
1.784,-0.36,0.13,0.03
1.785,-0.36,0.10,-0.09
1.789,-0.36,0.06,-0.19
1.794,-0.34,0.01,-0.26
1.799,-0.31,-0.06,-0.29
1.804,-0.26,-0.12,-0.28
1.809,-0.22,-0.14,-0.25
1.814,-0.19,-0.13,-0.21
1.819,-0.16,-0.09,-0.18
1.824,-0.13,-0.03,-0.17
1.838,-0.11,0.03,-0.17
1.839,-0.10,0.07,-0.18
1.839,-0.09,0.10,-0.18
1.844,-0.09,0.12,-0.18
1.851,-0.08,0.14,-0.18
1.854,-0.06,0.14,-0.17
1.859,-0.05,0.14,-0.16
1.864,-0.03,0.14,-0.15
1.869,-0.02,0.13,-0.15
1.875,-0.01,0.14,-0.13
1.885,0.00,0.14,-0.12
1.885,0.00,0.13,-0.10
1.893,0.01,0.12,-0.09
1.894,0.01,0.12,-0.07
1.900,0.01,0.12,-0.06
1.904,0.00,0.12,-0.05
1.909,-0.01,0.11,-0.04
1.914,-0.02,0.11,-0.04
1.919,-0.03,0.10,-0.03
1.924,-0.05,0.08,-0.02
1.930,-0.08,0.08,-0.01
1.934,-0.10,0.07,0.01
1.939,-0.12,0.06,0.02
1.944,-0.14,0.05,0.04
1.950,-0.15,0.04,0.06
1.955,-0.16,0.03,0.07
1.960,-0.17,0.03,0.08
1.964,-0.18,0.04,0.09
1.970,-0.18,0.04,0.09
1.975,-0.18,0.05,0.08
1.985,-0.18,0.06,0.06
1.985,-0.17,0.05,0.05
