time,wx,wy,wz
1.729,0.23,1.08,0.58
1.733,0.32,0.92,0.50
1.738,0.38,0.84,0.41
1.744,0.40,0.77,0.36
1.749,0.42,0.64,0.37
1.753,0.47,0.53,0.37
1.758,0.57,0.56,0.38
1.764,0.67,0.76,0.42
1.769,0.74,1.01,0.52
1.775,0.87,1.52,0.70
1.779,1.25,2.54,1.06
1.784,1.60,3.57,1.29
1.789,1.73,4.04,1.17
1.799,1.66,3.76,0.90
1.800,1.29,2.58,0.50
1.804,0.84,1.04,0.21
1.816,0.56,-0.18,0.16
1.817,0.46,-0.65,0.29
1.819,0.53,-0.40,0.52
1.824,0.63,0.16,0.73
1.829,0.62,0.60,0.83
1.835,0.61,0.65,0.87
1.839,0.64,0.33,0.93
1.844,0.66,-0.03,0.97
1.849,0.59,-0.24,0.98
1.854,0.47,-0.41,0.97
1.860,0.38,-0.61,0.97
1.865,0.36,-0.77,1.00
1.869,0.40,-0.79,1.02
1.874,0.44,-0.68,1.03
1.879,0.47,-0.46,1.05
1.884,0.49,-0.18,1.08
1.890,0.48,0.15,1.09
1.899,0.45,0.50,1.07
1.900,0.42,0.86,1.02
1.905,0.36,1.19,0.97
1.909,0.31,1.46,0.89
1.916,0.24,1.58,0.80
1.919,0.15,1.57,0.68
1.924,0.07,1.48,0.53
1.929,-0.02,1.36,0.35
1.935,-0.09,1.25,0.19
1.939,-0.15,1.15,0.06
1.944,-0.20,1.02,-0.03
1.949,-0.27,0.90,-0.11
1.954,-0.32,0.90,-0.15
1.959,-0.35,1.02,-0.15
1.964,-0.36,1.23,-0.12
1.969,-0.30,1.41,-0.07
1.974,-0.24,1.51,-0.01
1.979,-0.19,1.61,0.02
1.984,-0.16,1.73,0.05
1.989,-0.15,1.89,0.04
2.000,-0.17,2.06,-0.07
2.001,-0.17,2.20,-0.40
2.004,-0.16,2.27,-0.77
2.009,-0.16,2.24,-1.00
2.019,-0.16,2.13,-1.07
2.020,-0.13,2.03,-1.01
2.024,-0.08,1.91,-0.82
2.029,-0.06,1.78,-0.54
2.034,-0.06,1.70,-0.22
2.039,-0.07,1.73,0.10
2.044,-0.10,1.94,0.42
2.049,-0.14,2.32,0.76
2.054,-0.20,2.61,1.14
2.059,-0.26,2.68,1.56
2.064,-0.31,2.70,1.95
2.069,-0.33,2.71,2.32
2.074,-0.32,2.69,2.67
2.079,-0.28,2.61,2.99
2.084,-0.22,2.70,3.26
2.089,-0.12,3.01,3.46
2.099,-0.00,3.38,3.63
2.099,0.11,3.76,3.75
2.104,0.20,4.05,3.84
2.110,0.31,4.30,3.88
2.114,0.50,4.52,3.87
2.119,0.57,4.37,3.91
2.124,0.65,4.13,3.91
2.129,0.73,3.84,3.87
2.134,0.78,3.45,3.81
2.139,0.83,3.13,3.75
2.144,0.89,2.94,3.64
2.150,0.92,2.79,3.49
2.154,0.89,2.58,3.29
2.160,0.84,2.35,3.05
2.165,0.78,2.21,2.73
2.170,0.70,2.11,2.32
2.175,0.62,1.94,1.84
2.180,0.56,1.71,1.37
2.186,0.49,1.47,0.94
2.190,0.42,1.21,0.61
2.200,0.34,0.90,0.43
2.201,0.26,0.56,0.34
2.205,0.21,0.35,0.31
2.210,0.19,0.30,0.28
2.220,0.20,0.45,0.24
2.221,0.21,0.75,0.18
2.225,0.24,1.15,0.12
2.232,0.26,1.44,0.06
2.235,0.28,1.58,0.03
2.240,0.30,1.56,0.04
2.244,0.31,1.34,0.08
2.249,0.33,1.03,0.15
2.254,0.36,0.73,0.22
2.259,0.41,0.56,0.29
2.264,0.47,0.47,0.32
2.269,0.54,0.36,0.34
2.274,0.60,0.27,0.35
2.279,0.61,0.09,0.39
2.285,0.57,-0.19,0.41
2.290,0.50,-0.47,0.41
2.301,0.42,-0.65,0.38
2.302,0.32,-0.70,0.30
2.306,0.22,-0.70,0.19
2.310,0.11,-0.62,0.12
2.320,-0.02,-0.58,0.11
2.321,-0.14,-0.61,0.14
2.324,-0.22,-0.65,0.17
2.329,-0.25,-0.71,0.23
2.334,-0.24,-0.78,0.32
2.339,-0.18,-0.87,0.40
2.345,-0.10,-0.99,0.49
2.349,-0.01,-1.12,0.55
2.354,0.06,-1.25,0.61
2.359,0.12,-1.37,0.66
2.365,0.16,-1.48,0.70
2.370,0.19,-1.57,0.73
2.374,0.21,-1.68,0.77
2.381,0.20,-1.78,0.81
2.385,0.16,-1.88,0.84
2.390,0.03,-1.93,0.84
2.402,-0.18,-1.93,0.83
2.403,-0.44,-1.85,0.83
