time,wx,wy,wz
1.511,-0.02,-0.04,0.01
1.512,-0.02,-0.04,0.01
1.523,-0.02,-0.04,0.01
1.524,-0.02,-0.04,0.01
1.526,-0.01,-0.03,0.01
1.532,-0.01,-0.03,0.01
1.536,-0.01,-0.02,0.00
1.541,-0.00,-0.02,0.00
1.546,0.00,-0.01,0.00
1.551,0.01,-0.01,0.00
1.556,0.01,-0.01,0.00
1.562,0.01,-0.01,0.00
1.566,0.01,-0.00,0.00
1.570,0.01,-0.00,0.00
1.575,0.01,-0.00,-0.00
1.583,0.01,0.00,-0.00
1.585,0.01,0.01,-0.00
1.591,0.01,0.02,-0.00
1.596,0.01,0.02,-0.00
1.601,0.02,0.01,-0.00
1.606,0.01,0.00,0.00
1.611,0.01,0.00,0.00
1.616,0.00,0.00,0.00
1.621,0.00,0.00,0.00
1.626,-0.01,0.00,0.00
1.632,-0.01,0.00,0.01
1.636,-0.01,0.00,0.01
1.641,-0.02,0.00,0.01
1.647,-0.02,0.00,0.01
1.651,-0.02,0.01,0.01
1.656,-0.03,0.01,0.01
1.661,-0.03,0.01,0.02
1.667,-0.03,0.01,0.02
1.672,-0.03,0.01,0.02
1.676,-0.04,0.01,0.02
1.689,-0.04,0.01,0.02
1.690,-0.03,0.00,0.02
1.692,-0.04,0.00,0.02
1.706,-0.04,0.00,0.02
1.707,-0.05,0.01,0.02
1.707,-0.05,0.01,0.02
1.711,-0.04,0.01,0.02
1.716,-0.04,0.00,0.02
1.721,-0.04,0.00,0.02
1.725,-0.05,0.00,0.02
1.731,-0.05,0.01,0.02
1.736,-0.05,0.00,0.01
1.741,-0.05,0.01,0.01
1.747,-0.05,0.01,0.01
1.751,-0.04,0.01,0.01
1.756,-0.05,0.00,0.01
1.761,-0.04,0.00,0.01
1.766,-0.04,0.00,0.01
1.771,-0.05,0.01,0.01
1.776,-0.05,0.00,0.01
1.787,-0.05,0.01,0.01
1.787,-0.05,0.01,0.00
1.792,-0.05,0.01,0.01
1.806,-0.04,0.02,0.01
1.807,-0.05,0.02,0.01
1.807,-0.05,0.02,0.01
1.812,-0.05,0.01,0.01
1.819,-0.05,0.01,0.01
