time,wx,wy,wz
2.440,-0.40,2.15,-0.08
2.445,-0.45,2.16,-0.08
2.450,-0.35,2.15,-0.04
2.455,-0.12,1.97,-0.01
2.460,0.20,1.52,-0.05
2.467,0.56,0.87,-0.16
2.470,0.89,0.25,-0.27
2.475,1.13,-0.24,-0.35
2.481,1.20,-0.56,-0.39
2.487,1.13,-0.69,-0.40
2.489,1.00,-0.62,-0.39
2.495,0.86,-0.37,-0.38
2.500,0.73,-0.05,-0.39
2.505,0.61,0.24,-0.40
2.510,0.50,0.45,-0.39
2.516,0.42,0.59,-0.38
2.520,0.35,0.65,-0.36
2.525,0.27,0.65,-0.30
2.536,0.18,0.61,-0.20
2.536,0.08,0.52,-0.05
2.540,-0.03,0.39,0.10
2.546,-0.13,0.22,0.27
2.552,-0.24,0.03,0.45
2.555,-0.37,-0.18,0.63
2.560,-0.52,-0.38,0.79
2.565,-0.70,-0.55,0.93
2.570,-0.91,-0.64,1.04
2.575,-1.12,-0.64,1.09
2.580,-1.31,-0.57,1.08
2.585,-1.47,-0.45,1.04
2.590,-1.59,-0.32,0.98
2.595,-1.68,-0.17,0.93
2.600,-1.72,-0.03,0.88
2.605,-1.74,0.09,0.82
2.610,-1.73,0.22,0.76
2.615,-1.70,0.35,0.73
2.621,-1.69,0.49,0.74
2.626,-1.70,0.66,0.76
2.630,-1.71,0.76,0.81
2.637,-1.71,0.70,0.84
2.642,-1.66,0.41,0.83
2.645,-1.52,-0.06,0.77
2.650,-1.29,-0.59,0.67
2.655,-1.00,-1.00,0.55
2.660,-0.68,-1.15,0.43
2.665,-0.39,-1.06,0.31
2.670,-0.14,-0.78,0.22
2.675,0.06,-0.41,0.17
2.680,0.22,-0.07,0.15
2.686,0.32,0.21,0.16
2.691,0.39,0.42,0.19
2.695,0.44,0.55,0.23
2.700,0.47,0.57,0.28
2.705,0.50,0.48,0.31
2.710,0.53,0.29,0.32
2.715,0.55,0.04,0.30
2.720,0.55,-0.19,0.26
2.726,0.54,-0.37,0.20
2.732,0.52,-0.48,0.15
2.735,0.52,-0.52,0.10
2.740,0.54,-0.49,0.09
2.745,0.56,-0.42,0.08
2.752,0.61,-0.32,0.07
2.759,0.66,-0.22,0.07
2.760,0.73,-0.15,0.08
2.766,0.80,-0.11,0.09
2.770,0.85,-0.05,0.10
2.775,0.89,0.03,0.13
2.780,0.93,0.07,0.16
2.785,0.96,0.07,0.19
2.790,0.97,0.02,0.21
2.795,0.97,-0.07,0.22
2.803,0.96,-0.20,0.21
2.805,0.94,-0.36,0.19
2.810,0.91,-0.51,0.14
2.821,0.90,-0.65,0.07
2.821,0.89,-0.80,-0.01
2.825,0.89,-0.97,-0.08
2.830,0.91,-1.17,-0.14
2.843,0.92,-1.33,-0.18
2.843,0.90,-1.42,-0.22
2.845,0.86,-1.50,-0.30
2.850,0.84,-1.66,-0.41
2.855,0.86,-1.96,-0.55
2.860,0.92,-2.37,-0.73
2.867,1.03,-2.82,-0.93
2.870,1.19,-3.33,-1.17
2.875,1.38,-3.83,-1.42
2.880,1.55,-4.20,-1.67
2.887,1.68,-4.43,-1.89
2.890,1.77,-4.60,-2.09
2.895,1.82,-4.66,-2.27
2.900,1.81,-4.53,-2.42
2.905,1.77,-4.09,-2.51
2.910,1.73,-3.32,-2.55
2.916,1.69,-2.33,-2.54
2.920,1.67,-1.26,-2.50
2.925,1.67,-0.28,-2.42
2.930,1.64,0.51,-2.28
2.936,1.59,1.00,-2.11
2.940,1.53,1.19,-1.99
2.945,1.47,1.12,-1.92
2.955,1.39,0.81,-1.88
2.955,1.30,0.37,-1.86
2.960,1.26,-0.17,-1.85
2.967,1.34,-0.91,-1.77
2.970,1.56,-1.84,-1.51
2.976,1.46,-2.42,-1.09
2.981,0.78,-2.25,-0.78
2.986,0.11,-1.83,-0.56
2.991,-0.17,-1.65,-0.36
2.995,-0.30,-1.50,-0.22
