time,wx,wy,wz
1.468,-0.39,1.60,0.35
1.469,-0.36,1.71,0.53
1.484,-0.32,1.80,0.74
1.484,-0.29,1.86,0.95
1.485,-0.26,1.87,1.18
1.490,-0.23,1.81,1.42
1.492,-0.19,1.67,1.66
1.503,-0.14,1.47,1.88
1.503,-0.11,1.28,2.08
1.507,-0.11,1.18,2.25
1.519,-0.13,1.12,2.41
1.520,-0.15,1.04,2.57
1.522,-0.16,0.92,2.67
1.527,-0.15,0.79,2.73
1.532,-0.14,0.68,2.74
1.537,-0.13,0.63,2.71
1.542,-0.09,0.67,2.64
1.547,0.01,0.90,2.54
1.552,0.13,1.19,2.38
1.556,0.21,1.33,2.18
1.562,0.25,1.42,1.98
1.567,0.29,1.40,1.80
1.572,0.32,1.21,1.62
1.577,0.37,0.95,1.48
1.583,0.39,0.67,1.38
1.587,0.39,0.34,1.36
1.592,0.37,-0.00,1.36
1.599,0.34,-0.30,1.33
1.602,0.31,-0.51,1.27
1.607,0.29,-0.68,1.25
1.613,0.36,-0.90,1.23
1.617,0.46,-0.99,1.20
1.622,0.49,-0.77,1.18
1.627,0.50,-0.48,1.15
1.633,0.50,-0.25,1.11
1.643,0.46,-0.08,1.08
1.643,0.41,0.00,1.04
1.647,0.38,-0.04,0.99
1.653,0.35,-0.16,0.92
1.657,0.31,-0.30,0.84
1.663,0.28,-0.42,0.78
1.667,0.29,-0.53,0.73
1.672,0.32,-0.63,0.68
1.677,0.35,-0.69,0.65
1.683,0.39,-0.79,0.63
1.687,0.39,-0.90,0.61
1.692,0.37,-0.92,0.59
1.697,0.33,-0.85,0.58
1.702,0.32,-0.82,0.59
1.707,0.32,-0.84,0.61
1.713,0.32,-0.87,0.62
1.717,0.31,-0.89,0.62
1.722,0.30,-0.89,0.59
1.726,0.30,-0.86,0.53
1.731,0.30,-0.83,0.47
1.737,0.31,-0.84,0.43
1.742,0.30,-0.87,0.38
1.747,0.27,-0.90,0.33
1.752,0.21,-0.96,0.27
1.758,0.14,-0.94,0.22
1.763,0.09,-0.82,0.21
1.767,0.06,-0.70,0.19
1.772,0.01,-0.64,0.18
1.777,-0.07,-0.30,0.25
1.784,-0.14,0.43,0.34
1.789,-0.17,1.16,0.40
1.791,-0.18,1.50,0.42
1.798,-0.18,1.55,0.43
1.802,-0.15,1.51,0.49
1.806,-0.13,1.53,0.58
1.819,-0.10,1.65,0.66
1.820,-0.01,1.89,0.76
1.822,0.18,2.06,0.88
1.827,0.37,2.12,1.01
1.832,0.45,1.97,1.10
1.837,0.44,1.61,1.16
1.842,0.35,1.09,1.22
1.847,0.21,0.50,1.30
1.852,0.03,-0.04,1.38
1.857,-0.18,-0.43,1.49
1.871,-0.36,-0.66,1.60
1.872,-0.49,-0.71,1.70
1.872,-0.56,-0.62,1.79
1.876,-0.56,-0.40,1.85
1.887,-0.51,-0.09,1.89
1.888,-0.45,0.26,1.91
1.891,-0.39,0.55,1.92
1.897,-0.33,0.75,1.92
1.902,-0.29,0.88,1.92
1.907,-0.25,0.99,1.92
1.912,-0.13,0.91,1.90
1.917,0.17,0.22,1.87
1.922,0.48,-0.43,1.79
1.927,0.55,-0.15,1.71
1.932,0.44,0.52,1.73
1.937,0.24,1.08,1.88
1.942,0.03,1.33,2.10
1.947,-0.13,1.30,2.32
1.952,-0.23,1.18,2.57
1.957,-0.30,1.06,2.89
1.966,-0.35,0.96,3.23
1.967,-0.37,0.87,3.54
1.972,-0.37,0.79,3.78
1.977,-0.36,0.75,3.94
1.982,-0.35,0.76,4.05
1.987,-0.36,0.88,4.12
1.992,-0.36,1.08,4.14
1.997,-0.37,1.19,4.09
2.003,-0.41,1.17,3.97
2.007,-0.43,0.88,3.73
2.013,-0.43,0.24,3.38
2.017,-0.39,-0.46,3.00
2.022,-0.35,-1.05,2.61
2.027,-0.30,-1.52,2.24
2.032,-0.23,-1.89,1.83
2.037,-0.18,-2.14,1.37
2.042,-0.17,-2.22,0.85
2.047,-0.18,-2.15,0.31
