time,wx,wy,wz
1.589,-0.11,-0.02,0.01
1.595,-0.11,-0.01,0.01
1.600,-0.10,-0.01,0.01
1.605,-0.09,-0.00,0.01
1.610,-0.08,0.01,0.01
1.615,-0.07,0.02,0.01
1.620,-0.05,0.04,0.01
1.625,-0.04,0.05,0.02
1.630,-0.03,0.05,0.02
1.635,-0.01,0.05,0.02
1.640,0.01,0.03,0.01
1.645,0.02,0.03,0.00
1.650,0.02,0.03,-0.00
1.655,0.02,0.03,0.00
1.661,0.01,0.03,-0.00
1.666,-0.00,0.03,-0.00
1.670,-0.01,0.02,-0.00
1.676,-0.02,0.01,-0.01
1.681,-0.03,0.00,-0.02
1.685,-0.03,-0.01,-0.02
1.691,-0.03,-0.02,-0.03
1.696,-0.03,-0.03,-0.03
1.701,-0.03,-0.04,-0.03
1.706,-0.02,-0.05,-0.03
1.710,-0.01,-0.06,-0.04
1.716,0.01,-0.07,-0.04
1.720,0.03,-0.07,-0.05
1.724,0.05,-0.07,-0.04
1.730,0.06,-0.06,-0.04
1.735,0.08,-0.05,-0.04
1.740,0.09,-0.03,-0.03
1.744,0.09,-0.01,-0.03
1.750,0.10,0.01,-0.02
1.755,0.09,0.03,-0.02
1.760,0.08,0.03,-0.02
1.765,0.07,0.04,-0.02
1.771,0.05,0.04,-0.01
1.775,0.03,0.03,-0.01
1.780,0.02,0.02,-0.01
1.786,0.00,-0.00,-0.01
1.790,-0.00,-0.01,-0.01
1.795,-0.01,-0.02,-0.01
1.800,-0.01,-0.02,-0.01
1.805,-0.02,-0.02,0.00
1.810,-0.02,-0.01,0.01
1.815,-0.02,0.00,0.01
1.819,-0.02,0.01,0.02
1.824,-0.01,0.01,0.02
1.829,-0.00,0.00,0.02
1.834,0.00,0.00,0.02
1.840,0.00,0.00,0.03
1.844,0.00,0.00,0.03
1.849,-0.00,0.00,0.04
1.854,-0.00,0.00,0.04
1.859,-0.00,-0.00,0.04
1.864,0.00,-0.00,0.04
1.869,0.01,-0.01,0.04
1.874,0.01,-0.01,0.03
1.879,0.01,-0.02,0.03
1.883,0.01,-0.01,0.03
1.889,0.01,-0.02,0.02
1.894,-0.00,-0.02,0.03
1.899,-0.01,-0.02,0.03
1.904,-0.02,-0.03,0.03
1.909,-0.02,-0.03,0.03
1.914,-0.02,-0.04,0.02
1.919,-0.02,-0.04,0.02
1.924,-0.01,-0.03,0.01
1.930,-0.00,-0.02,0.01
1.935,0.00,-0.01,0.01
1.940,0.01,0.01,0.01
1.945,0.02,0.01,0.01
1.949,0.03,0.02,0.01
1.954,0.04,0.02,0.00
1.959,0.05,0.02,0.00
1.964,0.05,0.02,0.00
1.969,0.05,0.01,0.00
1.974,0.05,0.01,0.00
1.979,0.05,0.01,0.00
1.984,0.04,0.01,0.00
1.989,0.04,0.01,0.00
1.994,0.04,0.01,0.00
1.999,0.03,0.01,0.00
2.004,0.02,0.02,-0.00
2.009,0.01,0.03,-0.00
2.014,0.01,0.03,-0.01
2.019,0.01,0.03,-0.01
2.024,0.01,0.03,-0.01
2.029,0.01,0.02,-0.00
2.034,0.01,0.02,0.00
2.039,0.01,0.02,0.00
2.044,0.01,0.02,0.01
2.049,0.00,0.02,0.01
2.054,-0.00,0.02,0.01
2.059,-0.01,0.02,0.01
2.064,-0.01,0.02,0.01
2.069,-0.01,0.01,0.01
2.074,-0.01,0.01,0.00
2.079,-0.02,0.01,0.00
